//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
0    |LCJL|XLA,D21A,S23LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,(51-53)                     |IAG,1-5DG,23DG,35-41DG,37-39DG,51DG,53DG,55-57DG,23G1                     |D1,D21,D35,D37,S23;
1    |LCJL|XLA,D21A,S21LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,(57)                     |IAG,1-5DG,23DG,35-41DG,37-39DG,51DG,55-57DG,21G1                     |D1,D21,D35,D37,S21;
2    |LCJL|XLA,D21A,S19LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,57                     |IAG,1-5DG,23DG,35-41DG,37-39DG,51DG,55-57DG,19G1                     |D1,D21,D35,D37,S19;
3    |LCJL|XLA,D21A,S17LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,(55)                     |IAG,1-5DG,23DG,35-41DG,37-39DG,51DG,55-57DG,17G1                     |D1,D21,D35,D37,S17;
4    |LCJL|XLA,D13A,S15LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,(45)                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,35-41DG,43-47DG,45-49DG,15G1                     |D1,D13,D23,D39,D41,S15;
5    |LCJL|XLA,D13A,S13LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,45,(49)                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,35-41DG,43-47DG,45-49DG,13G1                     |D1,D13,D23,D39,D41,S13;
6    |LCJL|XLA,D13A,S11LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,45,49                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,35-41DG,43-47DG,45-49DG,11G1                     |D1,D13,D23,D39,D41,S11;
7    |LCJL|XLA,D13A,S9LA    |X     |1-3,(5-7),35-37,(39-41),35-37,(43),(47)                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,35-41DG,43-47DG,45-49DG,9G1                     |D1,D13,D23,D39,D41,S9;
8    |LCJL|XLA,D13A,S7LA    |X     |1-3,(5-7),35-37,(39-41),35-37,(43),47                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,35-41DG,43-47DG,45-49DG,7G1                     |D1,D13,D23,D39,D41,S7;
//9    |LCJL|XLA,D13A,D62LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,(57),90-92                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,51DG,55-57DG,21G1,92DG,21G2                     |D1,D13,D23,D35,D37,S21,X21L,D62;
//10    |LCJL|XLA,D13A,D58LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57,90-92,86-88                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,51DG,55-57DG,19G1,90DG,88DG,19G2                     |D1,D13,D23,D35,D37,S19,X19L,D60,D58;
//11    |LCJL|XLA,D13A,D56LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57,90-92,(86-88)                     |IAG,1-5DG,7-9DG,13DG,7/39G,37-39DG,51DG,55-57DG,19G1,90DG,88DG,86DG,17G2                     |D1,D13,D23,D35,D37,S19,X19L,D60,D56;
//12    |LCJL|XLA,D23A,S15LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,(45)                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,45-49DG,15G1                     |D1,D13,D23,D39,D41,S15;
//13    |LCJL|XLA,D23A,S13LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,45,(49)                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,45-49DG,13G1                     |D1,D13,D23,D39,D41,S13;
//14    |LCJL|XLA,D23A,S11LA    |X     |1-3,(5-7),35-37,(39-41),35-37,43,45,49                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,45-49DG,11G1                     |D1,D13,D23,D39,D41,S11;
//15    |LCJL|XLA,D23A,S9LA    |X     |1-3,(5-7),35-37,(39-41),35-37,(43),(47)                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,45-49DG,9G1                     |D1,D13,D23,D39,D41,S9;
//16    |LCJL|XLA,D23A,S7LA    |X     |1-3,(5-7),35-37,(39-41),35-37,(43),47                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,45-49DG,7G1                     |D1,D13,D23,D39,D41,S7;
//17    |LCJL|XLA,D23A,D62LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,(57),90-92                     |IAG,1-5DG,7-9DG,13DG,37-39DG,51DG,55-57DG,21G1,92DG,21G2                     |D1,D13,D23,D35,D37,S21,X21L,D62;
//18    |LCJL|XLA,D23A,D58LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57,90-92,86-88                     |IAG,1-5DG,7-9DG,13DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,19G2                     |D1,D13,D23,D35,D37,S19,X19L,D60,D58;
//19    |LCJL|XLA,D23A,D56LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57,90-92,(86-88)                     |IAG,1-5DG,7-9DG,13DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,86DG,17G2                     |D1,D13,D23,D35,D37,S19,X19L,D60,D56;
20    |LCJL|XLA,S23LA    |X     |1-3,(5-7),35-37,39-41,(51-53)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,53DG,13DG,55-57DG,23G1                     |D1,D13,D23,D35,D37,S23;
21    |LCJL|XLA,S21LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,(57)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,21G1                     |D1,D13,D23,D35,D37,S21;
22    |LCJL|XLA,S19LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,19G1                     |D1,D13,D23,D35,D37,S19;
23    |LCJL|XLA,S17LA    |X     |1-3,(5-7),35-37,39-41,51-53,(55)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,17G1                     |D1,D13,D23,D35,D37,S17;
24    |LCJL|XLA,S15LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,(45)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,15G1                     |D1,D21,D39,D41,S15;
25    |LCJL|XLA,S13LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,(49)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1                     |D1,D21,D39,D41,S13;
26    |LCJL|XLA,S11LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,49                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,11G1                     |D1,D21,D39,D41,S11;
27    |LCJL|XLA,S9LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),(47)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,9G1                     |D1,D21,D39,D41,S9;
28    |LCJL|XLA,S7LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),47                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,7G1                     |D1,D21,D39,D41,S7;
29    |LCJL|XLA,S5LA    |X     |1-3,5-7,11-13,23,(27),(33)                     |IAG,1-5DG,13DG,23DG,27DG,33DG,35-41DG,5G1                     |D1,D21,D43,S5;
30    |LCJL|XLA,S3LA    |X     |1-3,5-7,11-13,23,(27),33                     |IAG,1-5DG,13DG,23DG,27DG,33DG,35-41DG,3G1                     |D1,D21,D43,S3;
31    |LCJL|XLA,SILA    |X     |1-3,5-7,11-13,23,27                     |IAG,1-5DG,13DG,23DG,27DG,35-41DG,IG1                     |D1,D21,SI;
32    |LCJL|XLA,SIILA    |X     |(1-3),11-13,17-19                     |IAG,1-5DG,3DG,11DG,17DG,IIG1                     |D1,D7,D15,SII;
33    |LCJL|XLA,S4LA    |X     |(1-3),11-13,(17-19),29                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,4G1                     |D1,D7,D15,D27,D29,S4;
34    |LCJL|XLA,S6LA    |X     |(1-3),11-13,(17-19),(29),(31)                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,6G1                     |D1,D7,D15,D27,D29,S6;
35    |LCJL|XLA,S8LA    |X     |(1-3),11-13,(17-19),(29),31                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,8G1                     |D1,D7,D15,D27,D29,S8;
