//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
0    |LCJL|XLA,D15A,S5LA    |X     |(1-3),5-7,17-19,(13-15),17-19,(21),31-33,(35-37),31-33                     |VIIAG,1DG,3DG,5DG,13-19DG,15-17DG,21DG,21/35WG,33-35DG,31-37DG,5G                     |D1,D5,D7,D15,D21,D29,D33,S5;
1    |LCJL|XLA,D15A,S4LA    |X     |(1-3),5-7,17-19,(13-15),17-19,(21),31-33,35-37                     |VIIAG,1DG,3DG,5DG,13-19DG,15-17DG,21DG,21/35WG,33-35DG,4G                     |D1,D5,D7,D15,D21,D29,D33,S4;
2    |LCJL|XLA,D33A,S5LA    |X     |(1-3),5-7,17-19,(13-15),17-19,(21),31-33,(35-37),31-33                     |VIIAG,1DG,3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,33-35DG,31-37DG,5G                     |D1,D5,D7,D15,D21,D29,D33,S5;
3    |LCJL|XLA,D33A,S4LA    |X     |(1-3),5-7,17-19,(13-15),17-19,(21),31-33,35-37                     |VIIAG,1DG,3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,33-35DG,4G                     |D1,D5,D7,D15,D21,D29,D33,S4;
4    |LCJL|XLA,SVIIILA    |X     |1-3,5-7,(9-11)                     |VIIAG,1DG,7DG,7/9WG,9DG,11DG,11/39WG                     |D1,D3,D9,D11,SVIII;
5    |LCJL|XLA,SVIILA    |X     |1-3,5-7,9-11,27                     |VIIAG,1DG,7DG,7/9WG,9DG,9/27WG,27DG,VIIG                     |D1,D3,D9,D11,D19,D25,SVII;
6    |LCJL|XLA,S6LA    |X     |1-3,5-7,9-11,(27),(29)                     |VIIAG,1DG,7DG,7/9WG,9DG,9/27WG,27DG,29DG,6G                     |D1,D3,D9,D11,D19,D25,D31,S6;
7    |LCJL|XLA,S5LA    |X     |1-3,5-7,9-11,(27),29,35-37,31-33                     |VIIAG,1DG,7DG,7/9WG,9DG,9/27WG,27DG,29DG,31-37DG,5G                     |D1,D3,D9,D11,D19,D25,D31,D35,S5;
8    |LCJL|XLA,S4LA    |X     |1-3,5-7,9-11,(27),29,35-37,(31-33),35-37                     |VIIAG,1DG,7DG,7/9WG,9DG,9/27WG,27DG,29DG,31-37DG,33-35DG,4G                     |D1,D3,D9,D11,D19,D25,D31,D35,S4;
9    |LCJL|XLA,S3LA    |X     |(1-3),5-7,17-19,(13-15),17-19,21                     |VIIAG,1DG,3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,3G                     |D1,D5,D7,D15,D21,S3;
10    |LCJL|XLA,SIILA    |X     |(1-3),5-7,17-19,13-15,23-25                     |VIIAG,1DG,3DG,5DG,5/13WG,13-19DG,23DG,IIG                     |D1,D5,D7,D15,D23,SII;
11    |LCJL|XLA,SILA    |X     |(1-3),5-7,17-19,13-15,(23-25)                     |VIIAG,1DG,3DG,5DG,5/13WG,13-19DG,23DG,25DG,IG                     |D1,D5,D7,D15,D23,SI;
12    |LCJL|XFLA,D11A,S5LA    |XF     |1-3,(5-7),9-11,(27),29,35-37,31-33                     |3DG,5DG,7DG,9DG,9/27WG,27DG,29DG,31-37DG,5G                     |D5,D9,D11,D19,D25,D31,D35,S5;
13    |LCJL|XFLA,D11A,S4LA    |XF     |1-3,(5-7),9-11,(27),29,35-37,(31-33),35-37                     |3DG,5DG,7DG,9DG,9/27WG,27DG,29DG,31-37DG,33-35DG,4G                     |D5,D9,D11,D19,D25,D31,D35,S4;
14    |LCJL|XFLA,D35A,S5LA    |XF     |1-3,(5-7),9-11,(27),29,35-37,31-33                     |3DG,5DG,7DG,7/9WG,9DG,9/27WG,27DG,31-37DG,5G                     |D5,D9,D11,D19,D25,D31,D35,S5;
15    |LCJL|XFLA,D35A,S4LA    |XF     |1-3,(5-7),9-11,(27),29,35-37,(31-33),35-37                     |3DG,5DG,7DG,7/9WG,9DG,9/27WG,27DG,31-37DG,33-35DG,4G                     |D5,D9,D11,D19,D25,D31,D35,S4;
16    |LCJL|XFLA,SVIIILA    |XF     |1-3,(5-7),(9-11)                     |3DG,5DG,7DG,7/9WG,9DG,11DG,11/39WG                     |D5,D9,D11,SVIII;
17    |LCJL|XFLA,SVIILA    |XF     |1-3,(5-7),9-11,27                     |3DG,5DG,7DG,7/9WG,9DG,9/27WG,27DG,VIIG                     |D5,D9,D11,D19,D25,SVII;
18    |LCJL|XFLA,S6LA    |XF     |1-3,(5-7),9-11,(27),(29)                     |3DG,5DG,7DG,7/9WG,9DG,9/27WG,27DG,29DG,6G                     |D5,D9,D11,D19,D25,D31,S6;
19    |LCJL|XFLA,S5LA    |XF     |1-3,5-7,17-19,(13-15),17-19,(21),31-33,(35-37),31-33                     |3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,21/35WG,33-35DG,31-37DG,5G                     |D5,D7,D15,D21,D29,D33,S5;
20    |LCJL|XFLA,S4LA    |XF     |1-3,5-7,17-19,(13-15),17-19,(21),31-33,35-37                     |3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,21/35WG,33-35DG,4G                     |D5,D7,D15,D21,D29,D33,S4;
21    |LCJL|XFLA,S3LA    |XF     |1-3,5-7,17-19,(13-15),17-19,21                     |3DG,5DG,5/13WG,13-19DG,15-17DG,21DG,3G                     |D5,D7,D15,D21,S3;
22    |LCJL|XFLA,SIILA    |XF     |1-3,5-7,17-19,13-15,23-25                     |3DG,5DG,5/13WG,13-19DG,23DG,IIG                     |D5,D7,D15,D23,SII;
23    |LCJL|XFLA,SILA    |XF     |1-3,5-7,17-19,13-15,(23-25)                     |3DG,5DG,5/13WG,13-19DG,23DG,25DG,IG                     |D5,D7,D15,D23,SI;
24    |LCJL|SVIIILA,XLA    |SVIII     |(9-11),5-7,1-3                     |11DG,9DG,7/9WG,7DG,1DG,VIIAG,X3JG                     |D11,D9,D3,D1,X;
25    |LCJL|SVIIILA,XFLA    |SVIII     |(9-11),(5-7),1-3                     |11DG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D11,D9,D5,XF;
26    |LCJL|SVIILA,XLA    |SVII     |27,9-11,5-7,1-3                     |27DG,9/27WG,9DG,7/9WG,7DG,1DG,VIIAG,X3JG                     |D25,D19,D11,D9,D3,D1,X;
27    |LCJL|SVIILA,XFLA    |SVII     |27,9-11,(5-7),1-3                     |27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D25,D19,D11,D9,D5,XF;
28    |LCJL|S6LA,XLA    |S6     |(29),(27),9-11,5-7,1-3                     |29DG,27DG,9/27WG,9DG,7/9WG,7DG,1DG,VIIAG,X3JG                     |D31,D25,D19,D11,D9,D3,D1,X;
29    |LCJL|S6LA,XFLA    |S6     |(29),(27),9-11,(5-7),1-3                     |29DG,27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D31,D25,D19,D11,D9,D5,XF;
30    |LCJL|S5LA,XLA    |S5     |31-33,35-37,29,(27),9-11,5-7,1-3                     |31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,1DG,VIIAG,X3JG                     |D35,D31,D25,D19,D11,D9,D3,D1,X;
31    |LCJL|S5LA,XFLA    |S5     |31-33,(35-37),31-33,(21),17-19,(13-15),17-19,5-7,1-3                     |31-37DG,33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,S1LQ                     |D33,D29,D21,D15,D7,D5,XF;
32    |LCJL|S5LA,D15A,XLA    |S5     |31-33,(35-37),31-33,(21),17-19,(13-15),17-19,5-7,(1-3)                     |31-37DG,33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D33,D29,D21,D15,D7,D5,D1,X;
33    |LCJL|S5LA,D11A,XFLA    |S5     |31-33,35-37,29,(27),9-11,(5-7),1-3                     |31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D35,D31,D25,D19,D11,D9,D5,XF;
34    |LCJL|S5LA,D35A,XFLA    |S5     |31-33,35-37,29,(27),9-11,(5-7),1-3                     |31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D35,D31,D25,D19,D11,D9,D5,XF;
35    |LCJL|S5LA,D33A,XLA    |S5     |31-33,(35-37),31-33,(21),17-19,(13-15),17-19,5-7,(1-3)                     |31-37DG,33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D33,D29,D21,D15,D7,D5,D1,X;
36    |LCJL|S4LA,XLA    |S4     |35-37,(31-33),35-37,29,(27),9-11,5-7,1-3                     |33-35DG,31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,1DG,VIIAG,X3JG                     |D35,D31,D25,D19,D11,D9,D3,D1,X;
37    |LCJL|S4LA,XFLA    |S4     |35-37,31-33,(21),17-19,(13-15),17-19,5-7,1-3                     |33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,S1LQ                     |D33,D29,D21,D15,D7,D5,XF;
38    |LCJL|S4LA,D15A,XLA    |S4     |35-37,31-33,(21),17-19,(13-15),17-19,5-7,(1-3)                     |33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D33,D29,D21,D15,D7,D5,D1,X;
39    |LCJL|S4LA,D11A,XFLA    |S4     |35-37,(31-33),35-37,29,(27),9-11,(5-7),1-3                     |33-35DG,31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D35,D31,D25,D19,D11,D9,D5,XF;
40    |LCJL|S4LA,D35A,XFLA    |S4     |35-37,(31-33),35-37,29,(27),9-11,(5-7),1-3                     |33-35DG,31-37DG,29DG,27DG,9/27WG,9DG,7/9WG,7DG,5DG,3DG,S1LQ                     |D35,D31,D25,D19,D11,D9,D5,XF;
41    |LCJL|S4LA,D33A,XLA    |S4     |35-37,31-33,(21),17-19,(13-15),17-19,5-7,(1-3)                     |33-35DG,21/35WG,21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D33,D29,D21,D15,D7,D5,D1,X;
42    |LCJL|S3LA,XLA    |S3     |21,17-19,(13-15),17-19,5-7,(1-3)                     |21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D21,D15,D7,D5,D1,X;
43    |LCJL|S3LA,XFLA    |S3     |21,17-19,(13-15),17-19,5-7,1-3                     |21DG,15-17DG,13-19DG,5/13WG,5DG,3DG,S1LQ                     |D21,D15,D7,D5,XF;
44    |LCJL|SIILA,XLA    |SII     |23-25,13-15,17-19,5-7,(1-3)                     |23DG,13-19DG,5/13WG,5DG,3DG,1DG,VIIAG,X3JG                     |D23,D15,D7,D5,D1,X;
